Event,Wins,Losses,Draws
Liga 2025-06-18,3,0,0
Liga 2025-06-25,1,1,1
Liga 2025-06-26,1,2,0
Liga 2025-07-03,2,1,0
Liga 2025-07-09,3,0,0
Liga 2025-07-10,2,1,0
Liga 2025-07-16,2,1,0
Liga 2025-07-17,1,2,0
Wizards Well Reign Of Jafar Set Championship,1,3,0
Liga 2025-07-24,1,1,1
Card Club Reign of Jafar Set Championship,4,3,0
Liga 2025-07-31,1,2,0
Neusser Reign of Jafar Set Championship,1,4,0
Liga 2025-08-06,2,1,0
Liga 2025-08-09,3,1,0
Card Club Fabled PreRelease,2,0,1
Mochi Cards Fabled PreRelease,3,1,0
Liga 2025-09-03,1,2,0
Liga 2025-09-04,3,0,0
Liga 2025-09-06,4,0,0
Liga 2025-09-10,2,1,0
Liga 2025-09-11,2,1,0
Liga 2025-09-17,2,1,0
Liga 2025-09-18,2,1,0
Liga 2025-09-20,2,1,0
DLC Bologna 2025,4,4,0
DLC Bologna 2025 Infinity,2,4,0
Wizards Fabled Set Championship,5,2,1
Liga 2025-10-16,3,0,0
Mochi Cards Fabled Set Championship,1,3,0
Card Club Fabled Set Championship,4,2,0
Liga 2025-10-23,1,2,1
Liga 2025-10-25,2,1,0
Liga 2025-10-30,2,1,0
Card Club Whispers PreRelease,2,2,0
Wizards Whispers PreRelease,1,1,1
Mochi Cards Whispers PreRelease,2,2,0
Battle Bear Whispers PreRelease Constructed,2,3,0
Liga 2025-11-12,2,1,0
Liga 2025-11-15,4,0,0
Liga 2025-11-27,2,1,0
ComicCon CCQ Main,5,3,0
ComicCon CCQ Infinity,3,2,0
Liga 2025-12-04,0,3,0
Liga 2025-12-06,4,0,0
Wizards Infinity Weekend,1,2,0
Liga 2025-12-18,1,2,0
Liga 2025-12-20,3,1,0
Liga 2025-12-27,4,0,0
FancyTreasure Whispers of the Well Set Championship,3,2,1
Liga 2026-01-08,2,1,0
Mochi Cards Whispers of the Well Set Championship,2,3,1
Wizards Well Whispers of the Well Set Championship,3,2,1
Liga 2026-01-15,1,2,0
Neusser Whispers of the Well Set Championship,3,1,2
Card Club Whispers of the Well Set Championship,2,1,1
Liga 2026-01-22,1,2,0
Liga 2026-01-24,3,1,0
Liga 2026-01-29,2,1,0
Liga 2026-01-31,3,1,0
Liga 2026-02-05,3,0,0
Card Club Winterspell PreRelease,2,2,0
Wizards Well Winterspell PreRelease,0,3,0
Mochi Cards Winterspell PreRelease,2,2,0
Battle Bear Winterspell PreRelease,2,3,0