Event,Round,Table,Pairing,PlayerTeam,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw,Result
LTD Qualification,1,14,A,Illumineers Rhein Neckar,keo,Amethyst Steel,Gate Goats,ElMpache,Amethyst Sapphire,Play,Win
LTD Qualification,1,14,B,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Gate Goats,Smiddy,Amethyst Steel,Draw,Win
LTD Qualification,1,14,C,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Gate Goats,Simon,Amethyst Steel,Play,Win
LTD Qualification,1,14,D,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,Gate Goats,RyuukDante,Amethyst Steel,Draw,Win
LTD Qualification,2,2,A,Illumineers Rhein Neckar,keo,Amethyst Steel,Hardcast Lorcana Club,Kinbo,Sapphire Steel,Play,Win
LTD Qualification,2,2,B,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Hardcast Lorcana Club,Green,Amethyst Steel,Draw,Win
LTD Qualification,2,2,C,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Hardcast Lorcana Club,CeeGee,Amethyst Sapphire,Play,Win
LTD Qualification,2,2,D,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,Hardcast Lorcana Club,Tracker,Amethyst Sapphire,Draw,Win
LTD Qualification,3,2,A,Illumineers Rhein Neckar,keo,Amethyst Steel,Dark Wings,MarsiDarsi,Amethyst Steel,Play,Loss
LTD Qualification,3,2,B,Illumineers Rhein Neckar,ITfairy,Ruby Steel,Dark Wings,Secret,Amber Emerald,Draw,Win
LTD Qualification,3,2,C,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Dark Wings,Chupa,Amethyst Sapphire,Play,Win
LTD Qualification,3,2,D,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,Dark Wings,Tommydo0,Emerald Sapphire,Draw,Loss
LTD Qualification,4,3,A,Illumineers Rhein Neckar,ITfairy,Ruby Steel,Mushu Clan,pwnTom,Amber Steel,Draw,Win
LTD Qualification,4,3,B,Illumineers Rhein Neckar,keo,Amethyst Steel,Mushu Clan,K0rshy,Sapphire Steel,Play,Win
LTD Qualification,4,3,C,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Mushu Clan,iSunny,Amethyst Sapphire,Draw,Win
LTD Qualification,4,3,D,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Mushu Clan,SarDestiny,Amethyst Sapphire,Play,Win
LTD Qualification,5,2,A,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Team Secret Rare,Membis,Amethyst Steel,Draw,Win
LTD Qualification,5,2,B,Illumineers Rhein Neckar,keo,Amethyst Steel,Team Secret Rare,Quabatchie,Amethyst Sapphire,Play,Loss
LTD Qualification,5,2,C,Illumineers Rhein Neckar,ITfairy,Ruby Steel,Team Secret Rare,BBop,Amber Steel,Draw,Loss
LTD Qualification,5,2,D,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Team Secret Rare,Mohoo,Amethyst Sapphire,Play,Win
LTD Qualification,6,2,A,Illumineers Rhein Neckar,ITfairy,Ruby Steel,Team Prepared,polyvulpes,Amber Steel,Draw,Win
LTD Qualification,6,2,B,Illumineers Rhein Neckar,keo,Amethyst Steel,Team Prepared,googlez,Amethyst Sapphire,Play,Win
LTD Qualification,6,2,C,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Team Prepared,Samral,Amethyst Steel,Draw,Win
LTD Qualification,6,2,D,Illumineers Rhein Neckar,RandAlex,Amethyst Steel,Team Prepared,WenrA,Amethyst Steel,Play,Loss
LTD Qualification,7,1,A,Illumineers Rhein Neckar,keo,Amethyst Steel,7 Serpents,schlendi,Amethyst Sapphire,Play,Draw
LTD Qualification,7,1,B,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,7 Serpents,InkmodeOn,Amethyst Steel,Draw,Draw
LTD Qualification,7,1,C,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,7 Serpents,Andi1066,Emerald Sapphire,Play,Draw
LTD Qualification,7,1,D,Illumineers Rhein Neckar,ITfairy,Ruby Steel,7 Serpents,McLovin,Amber Emerald,Draw,Draw
LTD Qualification,8,2,A,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Team Incognito,Carrier,Ruby Amethyst,Draw,Loss
LTD Qualification,8,2,B,Illumineers Rhein Neckar,keo,Amethyst Steel,Team Incognito,Sayman,Ruby Sapphire,Play,Win
LTD Qualification,8,2,C,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,Team Incognito,xSolutionx,Amethyst Sapphire,Draw,Win
LTD Qualification,8,2,D,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Team Incognito,Banaza,Amethyst Steel,Play,Win
LTD Qualification,9,1,A,Illumineers Rhein Neckar,keo,Amethyst Steel,Team Tintenvorrat,Paduaner,Amethyst Sapphire,Play,Loss
LTD Qualification,9,1,B,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Team Tintenvorrat,PusherGene,Amethyst Steel,Draw,Win
LTD Qualification,9,1,C,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Team Tintenvorrat,LeXtreme,Amethyst Sapphire,Play,Win
LTD Qualification,9,1,D,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,Team Tintenvorrat,CNTPD,Emerald Sapphire,Draw,Loss
LTD Qualification,10,1,A,Illumineers Rhein Neckar,keo,Amethyst Steel,Ink Crows,Dome,Amethyst Steel,Play,Draw
LTD Qualification,10,1,B,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Ink Crows,Duy,Amethyst Sapphire,Draw,Draw
LTD Qualification,10,1,C,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Ink Crows,Rafa,Amethyst Sapphire,Play,Draw
LTD Qualification,10,1,D,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,Ink Crows,Tony,Emerald Sapphire,Draw,Draw
LTD Qualification,11,1,A,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,Team Tota Hahn,Florians Jade,Amethyst Sapphire,Draw,Win
LTD Qualification,11,1,B,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,Team Tota Hahn,Suminy,Amethyst Sapphire,Play,Loss
LTD Qualification,11,1,C,Illumineers Rhein Neckar,ITfairy,Ruby Steel,Team Tota Hahn,crazyetwas,Emerald Steel,Draw,Loss
LTD Qualification,11,1,D,Illumineers Rhein Neckar,keo,Amethyst Steel,Team Tota Hahn,Hendrik,Amethyst Steel,Play,Win
LTD Qualification,12,1,A,Illumineers Rhein Neckar,keo,Amethyst Steel,MROs Glimmer Gang,ruFFy,Amethst Sapphire,Play,Draw
LTD Qualification,12,1,B,Illumineers Rhein Neckar,Swordinator,Amethyst Sapphire,MROs Glimmer Gang,MRO__Gaming,Amethyst Steel,Draw,Draw
LTD Qualification,12,1,C,Illumineers Rhein Neckar,TopChicken,Amethyst Steel,MROs Glimmer Gang,Severin,Amber Steel,Play,Draw
LTD Qualification,12,1,D,Illumineers Rhein Neckar,shinobi64,Amethyst Sapphire,MROs Glimmer Gang,Maxing,Emerald Sapphire,Draw,Draw