Event,Round,Table,Player,PlayerDeck,Opponent,OpponentDeck,Result
Multivitamin 2025 NY,3,14,Ronte,Ruby Sapphire Control,Reagenzglasgeburt,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,3,14,Reagenzglasgeburt,Amethyst Emerald Tempo,Ronte,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,3,15,Sirius83,Amber Steel Songs,K0rshy,Sapphire Steel Items,Loss
Multivitamin 2025 NY,3,15,K0rshy,Sapphire Steel Items,Sirius83,Amber Steel Songs,Win
Multivitamin 2025 NY,3,16,Banapfel,Amber Sapphire Princess,MC_Cleopatrick,Sapphire Steel Items,Win
Multivitamin 2025 NY,3,16,MC_Cleopatrick,Sapphire Steel Items,Banapfel,Amber Sapphire Princess,Loss
Multivitamin 2025 NY,3,17,TCR_Dextr0niC,Amber Steel Songs,MayLegend,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,3,17,MayLegend,Ruby Sapphire Control,TCR_Dextr0niC,Amber Steel Songs,Win
Multivitamin 2025 NY,3,18,Petnein,Amber Steel Songs,Tommydo0,Ruby Amethyst Bounce,Draw
Multivitamin 2025 NY,3,18,Tommydo0,Ruby Amethyst Bounce,Petnein,Amber Steel Songs,Draw
Multivitamin 2025 NY,3,19,SarDestiny,Ruby Amethyst Bounce,GG_Timtheus90,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,3,19,GG_Timtheus90,Ruby Amethyst Bounce,SarDestiny,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,3,20,AniW,Ruby Amethyst Bounce,TSRJustMax,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,3,20,TSRJustMax,Ruby Amethyst Bounce,AniW,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,3,21,Tygo,Sapphire Steel Items,TheGrumpyOne,Amethyst Sapphire Blurple,Loss
Multivitamin 2025 NY,3,21,TheGrumpyOne,Amethyst Sapphire Blurple,Tygo,Sapphire Steel Items,Win
Multivitamin 2025 NY,3,22,sKleene,Amethyst Emerald Tempo,TotaHahnLorcana_Vladimiro,Amber Steel Songs,Loss
Multivitamin 2025 NY,3,22,TotaHahnLorcana_Vladimiro,Amber Steel Songs,sKleene,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,3,23,NMI_Haertelus,Amethyst Emerald Tempo,Mazinga86,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,3,23,Mazinga86,Ruby Amethyst Bounce,NMI_Haertelus,Amethyst Emerald Tempo,Loss
Multivitamin 2025 NY,3,24,MrMamille,Amber Steel Songs,pwnTom,Amber Ruby Locations,Win
Multivitamin 2025 NY,3,24,pwnTom,Amber Ruby Locations,MrMamille,Amber Steel Songs,Loss
Multivitamin 2025 NY,4,1,Missy2901,Ruby Sapphire Control,MrTom,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,4,1,MrTom,Ruby Sapphire Control,Missy2901,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,4,2,mcmike82,Amber Steel Aggro,Jarl94,Emerald Steel Discard,Loss
Multivitamin 2025 NY,4,2,Jarl94,Emerald Steel Discard,mcmike82,Amber Steel Aggro,Win
Multivitamin 2025 NY,4,3,Leonard24,Ruby Sapphire Control,ItsaaaaB,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,4,3,ItsaaaaB,Ruby Amethyst Bounce,Leonard24,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,4,4,K7_Naijul,Ruby Sapphire Control,Darksteel1,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,4,4,Darksteel1,Ruby Sapphire Control,K7_Naijul,Ruby Sapphire Control,Win
Multivitamin 2025 NY,4,5,AsiateSuessSauer,Ruby Amethyst Bounce,NMI_TobiOas,Ruby Amethyst Burn,Win
Multivitamin 2025 NY,4,5,NMI_TobiOas,Ruby Amethyst Burn,AsiateSuessSauer,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,4,6,Luminator,Amethyst Steel Aggro,Schatten,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,4,6,Schatten,Amethyst Emerald Tempo,Luminator,Amethyst Steel Aggro,Loss
Multivitamin 2025 NY,4,7,TSR_RedEyesKeke,Ruby Amethyst Bounce,Ronte,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,4,7,Ronte,Ruby Sapphire Control,TSR_RedEyesKeke,Ruby Amethyst Bounce,Draw
Multivitamin 2025 NY,4,8,SurferT50,Ruby Steel Pirates,DoitsuKoitsu,Amber Steel Songs,Loss
Multivitamin 2025 NY,4,8,DoitsuKoitsu,Amber Steel Songs,SurferT50,Ruby Steel Pirates,Win
Multivitamin 2025 NY,4,9,Banapfel,Amber Sapphire Princess,K0rshy,Sapphire Steel Items,Win
Multivitamin 2025 NY,4,9,K0rshy,Sapphire Steel Items,Banapfel,Amber Sapphire Princess,Loss
Multivitamin 2025 NY,4,10,shinobi64,Ruby Sapphire Control,Freakout,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,4,10,Freakout,Ruby Sapphire Control,shinobi64,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,4,11,Ketaro,Ruby Amethyst Bounce,MarsiDarsi09,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,4,11,MarsiDarsi09,Ruby Amethyst Bounce,Ketaro,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,4,12,BarisF2,Ruby Amethyst Bounce,TSRJustMax,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,4,12,TSRJustMax,Ruby Amethyst Bounce,BarisF2,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,4,13,SarDestiny,Ruby Amethyst Bounce,Samral,Emerald Sapphire Clarabelle,Loss
Multivitamin 2025 NY,4,13,Samral,Emerald Sapphire Clarabelle,SarDestiny,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,4,14,MayLegend,Ruby Sapphire Control,TheGrumpyOne,Amethyst Sapphire Blurple,Win
Multivitamin 2025 NY,4,14,TheGrumpyOne,Amethyst Sapphire Blurple,MayLegend,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,4,15,Sirius83,Amber Steel Songs,Hendrik,Amber Amethyst Hyper Aggro,Win
Multivitamin 2025 NY,4,15,Hendrik,Amber Amethyst Hyper Aggro,Sirius83,Amber Steel Songs,Loss
Multivitamin 2025 NY,4,16,MrMamille,Amber Steel Songs,TotaHahnLorcana_Vladimiro,Amber Steel Songs,Loss
Multivitamin 2025 NY,4,16,TotaHahnLorcana_Vladimiro,Amber Steel Songs,MrMamille,Amber Steel Songs,Win
Multivitamin 2025 NY,4,17,TCR_endyucation,Amber Steel Songs,Reagenzglasgeburt,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,4,17,Reagenzglasgeburt,Amethyst Emerald Tempo,TCR_endyucation,Amber Steel Songs,Loss
Multivitamin 2025 NY,4,18,TSR_Makoya,Ruby Amethyst Bounce,GG_ElMapache,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,4,18,GG_ElMapache,Amethyst Emerald Tempo,TSR_Makoya,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,4,19,MC_Cleopatrick,Sapphire Steel Items,TCR_Dextr0niC,Amber Steel Songs,Win
Multivitamin 2025 NY,4,19,TCR_Dextr0niC,Amber Steel Songs,MC_Cleopatrick,Sapphire Steel Items,Loss
Multivitamin 2025 NY,4,20,FlorianW,Amethyst Steel Midrange,NMI_Haertelus,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,4,20,NMI_Haertelus,Amethyst Emerald Tempo,FlorianW,Amethyst Steel Midrange,Loss
Multivitamin 2025 NY,4,21,Petnein,Amber Steel Songs,AniW,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,4,21,AniW,Ruby Amethyst Bounce,Petnein,Amber Steel Songs,Loss
Multivitamin 2025 NY,4,22,Tommydo0,Ruby Amethyst Bounce,GG_Timtheus90,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,4,22,GG_Timtheus90,Ruby Amethyst Bounce,Tommydo0,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,4,23,Tygo,Sapphire Steel Items,sKleene,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,4,23,sKleene,Amethyst Emerald Tempo,Tygo,Sapphire Steel Items,Loss
Multivitamin 2025 NY,5,0,AniW,Ruby Amethyst Bounce,,,Win
Multivitamin 2025 NY,5,0,,,AniW,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,1,Jarl94,Emerald Steel Discard,MrTom,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,5,1,MrTom,Ruby Sapphire Control,Jarl94,Emerald Steel Discard,Draw
Multivitamin 2025 NY,5,2,Missy2901,Ruby Sapphire Control,Leonard24,Ruby Sapphire Control,Win
Multivitamin 2025 NY,5,2,Leonard24,Ruby Sapphire Control,Missy2901,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,5,3,mcmike82,Amber Steel Aggro,Banapfel,Amber Sapphire Princess,Win
Multivitamin 2025 NY,5,3,Banapfel,Amber Sapphire Princess,mcmike82,Amber Steel Aggro,Loss
Multivitamin 2025 NY,5,4,Luminator,Amethyst Steel Aggro,DoitsuKoitsu,Amber Steel Songs,Win
Multivitamin 2025 NY,5,4,DoitsuKoitsu,Amber Steel Songs,Luminator,Amethyst Steel Aggro,Loss
Multivitamin 2025 NY,5,5,AsiateSuessSauer,Ruby Amethyst Bounce,Darksteel1,Ruby Sapphire Control,Win
Multivitamin 2025 NY,5,5,Darksteel1,Ruby Sapphire Control,AsiateSuessSauer,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,6,MarsiDarsi09,Ruby Amethyst Bounce,K7_Naijul,Ruby Sapphire Control,Win
Multivitamin 2025 NY,5,6,K7_Naijul,Ruby Sapphire Control,MarsiDarsi09,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,7,TSR_RedEyesKeke,Ruby Amethyst Bounce,ItsaaaaB,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,5,7,ItsaaaaB,Ruby Amethyst Bounce,TSR_RedEyesKeke,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,8,Ronte,Ruby Sapphire Control,MayLegend,Ruby Sapphire Control,Win
Multivitamin 2025 NY,5,8,MayLegend,Ruby Sapphire Control,Ronte,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,5,9,Samral,Emerald Sapphire Clarabelle,BarisF2,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,5,9,BarisF2,Ruby Amethyst Bounce,Samral,Emerald Sapphire Clarabelle,Loss
Multivitamin 2025 NY,5,10,NMI_TobiOas,Ruby Amethyst Burn,Freakout,Ruby Sapphire Control,Win
Multivitamin 2025 NY,5,10,Freakout,Ruby Sapphire Control,NMI_TobiOas,Ruby Amethyst Burn,Loss
Multivitamin 2025 NY,5,11,TSR_Makoya,Ruby Amethyst Bounce,FlorianW,Amethyst Steel Midrange,Loss
Multivitamin 2025 NY,5,11,FlorianW,Amethyst Steel Midrange,TSR_Makoya,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,5,12,K0rshy,Sapphire Steel Items,TCR_endyucation,Amber Steel Songs,Loss
Multivitamin 2025 NY,5,12,TCR_endyucation,Amber Steel Songs,K0rshy,Sapphire Steel Items,Win
Multivitamin 2025 NY,5,13,Schatten,Amethyst Emerald Tempo,shinobi64,Ruby Sapphire Control,Win
Multivitamin 2025 NY,5,13,shinobi64,Ruby Sapphire Control,Schatten,Amethyst Emerald Tempo,Loss
Multivitamin 2025 NY,5,14,Sirius83,Amber Steel Songs,SurferT50,Ruby Steel Pirates,Loss
Multivitamin 2025 NY,5,14,SurferT50,Ruby Steel Pirates,Sirius83,Amber Steel Songs,Win
Multivitamin 2025 NY,5,15,MC_Cleopatrick,Sapphire Steel Items,TotaHahnLorcana_Vladimiro,Amber Steel Songs,Win
Multivitamin 2025 NY,5,15,TotaHahnLorcana_Vladimiro,Amber Steel Songs,MC_Cleopatrick,Sapphire Steel Items,Loss
Multivitamin 2025 NY,5,16,Petnein,Amber Steel Songs,Ketaro,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,16,Ketaro,Ruby Amethyst Bounce,Petnein,Amber Steel Songs,Win
Multivitamin 2025 NY,5,17,SarDestiny,Ruby Amethyst Bounce,Tygo,Sapphire Steel Items,Win
Multivitamin 2025 NY,5,17,Tygo,Sapphire Steel Items,SarDestiny,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,18,TSRJustMax,Ruby Amethyst Bounce,GG_Timtheus90,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,5,18,GG_Timtheus90,Ruby Amethyst Bounce,TSRJustMax,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,5,19,MrMamille,Amber Steel Songs,GG_ElMapache,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,5,19,GG_ElMapache,Amethyst Emerald Tempo,MrMamille,Amber Steel Songs,Loss
Multivitamin 2025 NY,5,20,TCR_Dextr0niC,Amber Steel Songs,NMI_Haertelus,Amethyst Emerald Tempo,Loss
Multivitamin 2025 NY,5,20,NMI_Haertelus,Amethyst Emerald Tempo,TCR_Dextr0niC,Amber Steel Songs,Win
Multivitamin 2025 NY,6,1,Missy2901,Ruby Sapphire Control,Jarl94,Emerald Steel Discard,Draw
Multivitamin 2025 NY,6,1,Jarl94,Emerald Steel Discard,Missy2901,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,6,2,AsiateSuessSauer,Ruby Amethyst Bounce,mcmike82,Amber Steel Aggro,Draw
Multivitamin 2025 NY,6,2,mcmike82,Amber Steel Aggro,AsiateSuessSauer,Ruby Amethyst Bounce,Draw
Multivitamin 2025 NY,6,3,Luminator,Amethyst Steel Aggro,MrTom,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,6,3,MrTom,Ruby Sapphire Control,Luminator,Amethyst Steel Aggro,Win
Multivitamin 2025 NY,6,4,MarsiDarsi09,Ruby Amethyst Bounce,Leonard24,Ruby Sapphire Control,Win
Multivitamin 2025 NY,6,4,Leonard24,Ruby Sapphire Control,MarsiDarsi09,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,6,5,TSR_RedEyesKeke,Ruby Amethyst Bounce,Samral,Emerald Sapphire Clarabelle,Loss
Multivitamin 2025 NY,6,5,Samral,Emerald Sapphire Clarabelle,TSR_RedEyesKeke,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,6,6,Ronte,Ruby Sapphire Control,Schatten,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,6,6,Schatten,Amethyst Emerald Tempo,Ronte,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,6,7,NMI_TobiOas,Ruby Amethyst Burn,DoitsuKoitsu,Amber Steel Songs,Loss
Multivitamin 2025 NY,6,7,DoitsuKoitsu,Amber Steel Songs,NMI_TobiOas,Ruby Amethyst Burn,Win
Multivitamin 2025 NY,6,8,SurferT50,Ruby Steel Pirates,Darksteel1,Ruby Sapphire Control,Win
Multivitamin 2025 NY,6,8,Darksteel1,Ruby Sapphire Control,SurferT50,Ruby Steel Pirates,Loss
Multivitamin 2025 NY,6,9,Banapfel,Amber Sapphire Princess,FlorianW,Amethyst Steel Midrange,Loss
Multivitamin 2025 NY,6,9,FlorianW,Amethyst Steel Midrange,Banapfel,Amber Sapphire Princess,Win
Multivitamin 2025 NY,6,10,TCR_endyucation,Amber Steel Songs,MC_Cleopatrick,Sapphire Steel Items,Loss
Multivitamin 2025 NY,6,10,MC_Cleopatrick,Sapphire Steel Items,TCR_endyucation,Amber Steel Songs,Win
Multivitamin 2025 NY,6,11,Ketaro,Ruby Amethyst Bounce,K7_Naijul,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,6,11,K7_Naijul,Ruby Sapphire Control,Ketaro,Ruby Amethyst Bounce,Win
Multivitamin 2025 NY,6,12,BarisF2,Ruby Amethyst Bounce,SarDestiny,Ruby Amethyst Bounce,Draw
Multivitamin 2025 NY,6,12,SarDestiny,Ruby Amethyst Bounce,BarisF2,Ruby Amethyst Bounce,Draw
Multivitamin 2025 NY,6,13,TSRJustMax,Ruby Amethyst Bounce,Sirius83,Amber Steel Songs,Win
Multivitamin 2025 NY,6,13,Sirius83,Amber Steel Songs,TSRJustMax,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,6,14,shinobi64,Ruby Sapphire Control,TotaHahnLorcana_Vladimiro,Amber Steel Songs,Win
Multivitamin 2025 NY,6,14,TotaHahnLorcana_Vladimiro,Amber Steel Songs,shinobi64,Ruby Sapphire Control,Loss
Multivitamin 2025 NY,6,15,K0rshy,Sapphire Steel Items,Freakout,Ruby Sapphire Control,Draw
Multivitamin 2025 NY,6,15,Freakout,Ruby Sapphire Control,K0rshy,Sapphire Steel Items,Draw
Multivitamin 2025 NY,6,16,NMI_Haertelus,Amethyst Emerald Tempo,MrMamille,Amber Steel Songs,Win
Multivitamin 2025 NY,6,16,MrMamille,Amber Steel Songs,NMI_Haertelus,Amethyst Emerald Tempo,Loss
Multivitamin 2025 NY,6,17,Tygo,Sapphire Steel Items,AniW,Ruby Amethyst Bounce,Loss
Multivitamin 2025 NY,6,17,AniW,Ruby Amethyst Bounce,Tygo,Sapphire Steel Items,Win
Multivitamin 2025 NY,6,18,GG_Timtheus90,Ruby Amethyst Bounce,GG_ElMapache,Amethyst Emerald Tempo,Win
Multivitamin 2025 NY,6,18,GG_ElMapache,Amethyst Emerald Tempo,GG_Timtheus90,Ruby Amethyst Bounce,Loss
Liga 2025-01-08,1,1,Darksteel1,Ruby Sapphire Control,nastra,Amber Steel Aggro,Loss
Liga 2025-01-08,1,1,nastra,Amber Steel Aggro,Darksteel1,Ruby Sapphire Control,Win
Liga 2025-01-08,1,2,Putschi,Amber Steel Songs,Jurki,Ruby Steel Challenger,Win
Liga 2025-01-08,1,2,Jurki,Ruby Steel Challenger,Putschi,Amber Steel Songs,Loss
Liga 2025-01-08,1,3,shinobi64,Ruby Sapphire Control,Dlawmor,Amber Emerald Aggro,Loss
Liga 2025-01-08,1,3,Dlawmor,Amber Emerald Aggro,shinobi64,Ruby Sapphire Control,Win
Liga 2025-01-08,2,1,Dlawmor,Amber Emerald Aggro,nastra,Amber Steel Aggro,Loss
Liga 2025-01-08,2,1,nastra,Amber Steel Aggro,Dlawmor,Amber Emerald Aggro,Win
Liga 2025-01-08,2,2,Putschi,Amber Steel Songs,Darksteel1,Ruby Sapphire Control,Loss
Liga 2025-01-08,2,2,Darksteel1,Ruby Sapphire Control,Putschi,Amber Steel Songs,Win
Liga 2025-01-08,2,3,Jurki,Ruby Steel Challenger,shinobi64,Ruby Sapphire Control,Loss
Liga 2025-01-08,2,3,shinobi64,Ruby Sapphire Control,Jurki,Ruby Steel Challenger,Win
Liga 2025-01-08,3,1,nastra,Amber Steel Aggro,Putschi,Amber Steel Songs,Win
Liga 2025-01-08,3,1,Putschi,Amber Steel Songs,nastra,Amber Steel Aggro,Loss
Liga 2025-01-08,3,2,shinobi64,Ruby Sapphire Control,Darksteel1,Ruby Sapphire Control,Win
Liga 2025-01-08,3,2,Darksteel1,Ruby Sapphire Control,shinobi64,Ruby Sapphire Control,Loss
Liga 2025-01-08,3,3,Dlawmor,Amber Emerald Aggro,Jurki,Ruby Steel Challenger,Loss
Liga 2025-01-08,3,3,Jurki,Ruby Steel Challenger,Dlawmor,Amber Emerald Aggro,Win